text,label
đẹp trai quá,POS
đóng cái lồn tao nè chứ đóng,NEG
khổ thân người dân trước dự án cao su là dự án cà phê làm thêm dự án nữa coi như một đời bỏ phí,NEG
hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó từ ngày đó nó đeo mày như chó mèo vậy nhưng khi lớn nó lại mắc bệnh mà mất giờ cũng hơn 4 5 năm rồi những nhớ nó lắm :downcast_face_with_sweat:,NEG
hồi nhỏ đọc tao đã nghi nghi rồi,NEU
ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi,NEU
con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi cuộc sống lạ lùng vãi :confused_face:,NEG
dù sao thì con trai vẫn nên là người mở lời trước à :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,NEU
ad cho hỏi nghệ an lúc nào mưa vậy ah :cloud_with_rain::cloud_with_rain: ốm cũng cam lòng chứ vã lắm rồi :hot_face::hot_face:,NEU
giận ngược lại rồi giận luôn chứ có huề đéo đâu :,NEG
per tao được làm fan cứng giống mày rồi :rolling_on_the_floor_laughing:,POS
xem cái này mới biết vốn tiếng anh của mình cũng khá !,POS
thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa,NEG
ôi bé xinh gái vãi :,POS
cười sái mẹ quai hàm,POS
rồi khi mày có 1 ít tiền : mày mới phát hiện ra còn đéo cả có người đi cùng cơ,NEG
tự dưng cay mẹ mắt,NEG
tao sợ thật sự :,NEG
per thịt nướng lò xô ne ăn z mà không chết :smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses:,NEU
tốt quá,POS
ông nào viết vui tính thế cưng thật,POS
không hiểu sao nhìu người lại thả haha nhỉ ?,NEU
diễn viên già vãi,NEG
ghét nhất mấy loại bép xép thế thôi nhanh gọn lẹ :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,NEG
cưng quá đi,POS
nhìn mẫu này lạ mắt mà đẹp quá,POS
tao cay mẹ khoé mắt,NEG
thấy mệt thêm chứ chẳng khỏe gì cả,NEG
: đang ăn mỳ không có trứng nhạt lắm có rụnng thì xin vài quả !,NEU
cảm ơn nói chuyện nhật ! 1 nền khoa học giáo dục trí tuệ văn minh ! :face_blowing_a_kiss:,POS
tao mệt chúng mày quá,NEG
hahaha lúc trước ca làm có 4 chị em vui biết bao :,POS
đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu :face_with_rolling_eyes:,NEG
các bạn đang bảo con này ah :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,NEU
má chủ dễ thương vậy tao cũng muốn xin,POS
kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí tro vào lần sau không phải nấu :smiling_face_with_smiling_eyes:,POS
có những con người luôn phải chịu đắng cay cta không được chọn gia đình bạn bè và càng không có quyền lựa chọn cuộc sống này hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng,POS
địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người xem mà điên đéo chịu được,NEG
nhìn thương quá lao động nghiêm túc,POS
đm thực tế như này còn hay tiếc là đéo ở gần mình,NEG
per mấy trụ kia em không tag được,NEU
nhận nhầm con cặc phải nói là 10 thằng thì 1 thằng nuôi con thằng khác,NEG
per ơ ơ ơ đây là đâu vậy,NEU
gặm gặm cái đéo ý à bố gặm luôn mày giờ !,NEG
thằng nào nói câu : thế thì đừng làm nghề này v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk người có ăn học có ý thức sẽ không nói ra câu đó,NEG
k phải là trời không cho mày yêu vì m quá ngulon,NEG
per tặng quà cáp gì tặng hộp nhỏ thôi nha đi hát hò gì đừng đem thùng quà to như vậy nha nó biết nó nhổ trụi lông nó ngắt mép chết đó :,NEG
hết tiền rồi này,NEU
đẹp dẽ thương mà,POS
tử hình con mẹ nó lũ chó má không có tính người đi khổ thân lũ trẻ,NEG
phim xem hay nhẹ nhàng tình cảm và cười vkl,POS
thế làm sao dỗ bạn gái đang giận :,NEU
t nói thật tao hiền lắm chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :,NEG
loài này bé như ngón tay phàm ăn lắm sợ luôn,NEG
phí dịch vụ cao nhất chuyển tiền nội mạng trừ phí tởm nhất thái độ làm việc bố láo nhất ít ưu đãi nhất,NEG
dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười,NEG
chẳng đủ dịu dàng để níu bước chân anh,NEG
1 cái xe cup này ngày xưa bằng mấy cái nhà liền,NEU
mỗi phút bên em thật tuyệt vời chỉ em mới cho anh cái cảm giác đó,POS
em chưa có người yêu có ai yêu em không em cô đơn quá,NEG
nhỏ nhặt nhưng ý nghĩa và hạnh phúc :smiling_face_with_smiling_eyes:,POS
per hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày :,NEG
bả đòi cái gì vậy ?,NEG
cái thứ ba trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa,NEG
per biết không :,NEU
dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời,NEU
mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự bố tổ sư,NEG
cô tiên béo quá :grinning_face_with_sweat::grinning_face_with_sweat: giọng còn the thé nữa :grinning_face_with_sweat::grinning_face_with_sweat:,NEG
lên án nhiều rồi mà vẫn thế,NEG
thằng này ngu vãi,NEG
cây tre có tận trăm đốt luôn hả ?,NEU
nói tiếng tuy hoà phú yên làm tao nhớ đến nyc giọng nó sao ngọt không thể tả buồn,NEG
per mợ mệt trưa nào cũng nhìn mày nhai chóp chép,NEG
đừng nên thích mấy ông anh cơ bắp sợ lắm :grinning_squinting_face:,NEG
có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ? :grinning_face:,POS
tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,NEG
và khi quay lại nói chuyện với nhau biết nói gì giờ huhu,NEG
thằng cha bảo vệ có tâm quá nge con nhỏ kêu nguyên đêm zi mà đéo cứu,NEG
cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz,NEG
tao thấy giống khùng với lại vô duyên chứ hay gì,NEG
cần gì những thứ xa hoa lộng lẫy đâu dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi :smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:,POS
t gặp ngỗng chạy bỏ dép,NEU
vừa ngu vừa ngông thì thế làm trễ tàu của người ta,NEG
sao nó trèo lên được hay vậy,NEU
khuôn mặt ngây thơ vô số tội trái tim nhỏ bé của tao sao chịu được :red_heart::red_heart::red_heart:,POS
cuộc sống mà đành chịu thôi,NEG
cấp 3 đáng tiếc nhất trong thời học sinh,NEU
per mình đang nói phần lớn thôi chứ tất nhiên cũng có ngoại lệ mà,NEU
thích chị này nhất phim í bé bé xinh xinh lại diễn rất đạt :3 hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa 3,POS
dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng cáo ấy ý kiến cá nhân :pensive_face:,NEG
t thấy chả có gì thú vị,NEG
vậy mà củng chẳng hút được khách !,NEG
khi nào lên chùa ba vàng giải được vong thì kết hôn :,NEU
thuở thiếu thời ai chẳn có phút bốc đồng nên cho nó một trận để răng đe :rolling_on_the_floor_laughing:,NEU
chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon,POS
cận cảnh cái bụng nước lèo của boss xài hao vãi,POS
bản chất tham lam của con người thể hiện ngay từ những việc nhỏ,NEG
em đi bộ chết mẹ đây này,NEG
thật tốt vì chú chó ấy đã tìm được người yêu thương nó kiên trì để nó tin tưởng thật sự :,POS
phim này xem nam chính thôi nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm giận không ra giận vui không ra vui,NEG
nhìn mặt nó khó ưa thật chứ,NEG
lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :,NEU
giờ lên phường người ta có phát chú rể không nhỉ các bạn ?,NEU
một cái ngu thật sứng đáng,NEG
năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa vì tao được ngồi mát và ăn ké socola of bọn có người yêu :beaming_face_with_smiling_eyes::face_with_tears_of_joy: mun :face_blowing_a_kiss:,POS
hãy dùng một đời để minh chứng nhé !:two_hearts::smiling_face_with_hearteyes:,POS
con mụ đen sai còn già mồm,NEG
chỉ cần yên bình như thế này thôi :red_heart::red_heart::red_heart:,POS
năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc,NEU
chỉ sợ lúc nó dí,NEG
hên là chay ra kip,NEU
immm,NEU
tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi :slightly_frowning_face::slightly_frowning_face::slightly_frowning_face:,NEG
đa người yêuc quá,POS
5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi chứ phạt g đâu xếp lớn của bà và xếp lớn của công an phường là 1 ai lại đi đá gà nhà,NEG
kinh dị v,NEG
thật may em đã gặp được người tài xế tốt :cherry_blossom::cherry_blossom:,POS
bắn không trượt phát nào luôn à,NEU
tại sao mày nằm viện mà vẫn xinh thế ?,POS
đẹp trai mà bị đá à,NEG
cho con được thay ông bán vé đi :pensive_face:,NEG
lớp xuất hiện thứ âm binh,NEG
đọc bình luận cười ẻ,POS
per cách này coi bộ hay nha :face_with_tears_of_joy:,POS
mặt đúng kiểu em hiểu cảm giác phê của anh không kkk,NEU
per thanh niên suốt ngày hát karaoke max volum,NEG
lỡ câu chuyện là thật thì sao chưa gì lên chửi người ta là rẻ rách,NEG
bố mày ngứa mắt lắm rồi đấy,NEG
thề địt mẹ ngay đoạn hay cái lên nhạc cast muốn đập điện thoại vãi :,NEG
cả đám súc vật này,NEG
bố mấy thằng bệnh,NEG
thật khó để có cả 2 khi chúng ta còn trẻ :,NEU
nếu cảm thấy không làm được thì nghỉ làm đi đã xin đi làm thuê thì phải chấp nhận thôi kêu than cái gì,NEG
may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,NEU
còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn,NEG
mấy thằng này người ta gọi là mấy thằng nhà quê năm nào rồi còn túm 5 tụm 3 trêu gái,NEG
cô giáo có tâm vời nghề ghêeeee,POS
tiếc quá đẹp trai mờ không có chim,NEG
crush ở nhà chơi gane rồi haha,NEU
nhìn stt đồng cảm khủng khiếp,POS
cài lò xô huyền thoại,NEU
quên đào tạo đạo đức thôi mà báo làm căng vãi :face_with_tears_of_joy:,NEG
đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức,NEG
cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng cố gắng lên em nhé :thumbs_up:,POS
hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết :face_with_tears_of_joy: vừa dí vừa ngoác mỏ hét sợ vãi ra,NEG
trốn cũng đéo tha,NEG
con gấu trúc cho nó ăn trúc đi tướng ngồi nhìn cưng vãi,POS
rồi lại im thôi 200k hay 5tr thì cũng vậy,NEG
cái lò huyền thoại nè per lúc mình ở chung đó,NEU
hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ,NEU
tí nữa vợ nó vắt chân lên cổ bò thì hú hồn,NEU
tuyệt vời,POS
trẻ con bao giờ ga lăng sớm thế nhỉ ?! hồi mình bằng bọn này đuổi đánh nhau hỡi chết :,NEU
tính đi chạy xe mà mưa cho nên ta ở nhà :,NEU
nhìn nó cưng quá,POS
chủ tịch giả làm nhện và cái kết đừng bao giờ xem thường người khác,NEU
này thì cắt đức quan hệ toàn thể hiện dume nó,NEG
con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình,NEG
hạnh phúc to nè,POS
độ thâm của bác phải gọi là bố của tàu,POS
ông thần nhây vãi đái :face_with_tears_of_joy::face_with_tears_of_joy:,POS
tóm lại vẩn ế à,NEG
chả vị nước mắt à :pensive_face:,NEG
con lợn kia sao đập vào đầu vợ bé của tao,NEG
tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt,POS
cứ sợ rớt điện thoại : sợ nhất là lỡ khúc nào khó là té không thể tả nổi,NEG
hình như anh nay đóng phim ngây ngô thì fải phim đó hay lắm các bạn nên xem,POS
hahaa coi cái mặt con nhỏ thấy thương,POS
per khiếp nhớ ngày xưa quá anh em ơi đi làm cười từ sáng tới tối luôn :weary_face:,NEU
per tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ,NEU
tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế :face_with_raised_eyebrow: chả bù cho mình lúc đéo nào cũng cười cuộc sống tràn ngập niềm vui 3,NEU
không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi :expressionless_face::grinning_squinting_face::red_heart:,POS
per anh tặng vợ cái bát nha kaka,POS
tiêu đề bộ phim cứ ngỡ là thể loại hài nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này,POS
như lol,NEG
bất ngờ chưa,NEU
trời mới bắt đầu mưa đéo lo thu thóc đi đứng đó quay ngang quay dọc,NEG
ay đau thế thằng chó !,NEG
có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ mà không thể or không muốn nói ra,NEG
đm cho tù mọt gông đi cái thứ không não,NEG
con tao mà bị như này cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn,NEG
a per nhìn những hình ảnh này sao em nhớ về anh quá 15 năm ròng rã giờ anh lưu lạc nơi đâu :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,NEG
kiến phải loại kiến lửa kiến vàng còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời :,NEU
per có nên áp dụng với anh hàng xóm không nhể :grinning_squinting_face::grinning_squinting_face::grinning_squinting_face:,NEU
đáng yêuc quá,POS
ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy,NEU
làm như chỉ có chúng mày biết yêu nhau ý,NEG
nói chung là không nên uống chẳng bổ béo gì đâu,NEG
không nổi thì mình chìm haha,NEU
nóng tính quá hỏng viẹc trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được,NEU
anh cũng bướng làm !,NEU
mỗi lần như thế tao chửi mà bọn nó xem đó là trò đùa mày ạ càng chửi càng cười,NEG
nhìn ma tiếc từng hạt trân châu,NEG
thật cảm động,POS
trời ơi tin được không ?,NEU
per nhìn mặt hài vler :,POS
đấy gọi là biết ngu mà vẫn đâm đầu vào giống tao :,NEG
một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu,NEU
người ngoài hành tinh đi học tiếng anh rồi à vãi,NEU
đó là một câu chuyện buồn :grinning_face:,NEG
lỗi đạo cụ,NEU
per dạo này bị xàm à :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,NEU
như chết đi sống lại :slightly_smiling_face:,NEU
bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay nồng nơi khóe mắt :,NEG
điện cho đứa bạn đem mũ ra coi ai hơn ai kakaa,NEU
thả tao ra để tao cắn chết mẹ nó,NEG
per tao cứ thấy giống giống mày :,NEU
vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau,NEG
giỏi thì tự đi mà thiết kế các kiểu ở đó chỉ giỏi cào phím chê bai thôi ông đã làm được gì am hiểu gì mà chê này chê nọ,NEG
ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút,POS
cưng hết sức nà,POS
học kiểu ăn nói láp xược tại sao không dạy xưng tôi hay tôi mà là tao đúng chất bắc láo,NEG
cái nệm này độ đàn hồi đỉnh ghê,POS
em lấy đi niềm tin chả lại cho anh những gì cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất anh chân thành nên anh tổn thương,NEG
con mèo khốn nạn dám bóp vếu vợ tao à :enraged_face:,NEG
giỏi quá ta cố gắng phát huy nha,POS
giờ mà quay lại cái thời đi học tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa,NEU
ăn cả thế giới đã,POS
mấy cái thằng này xử bắn hết đi to xác không lo làm ăn suốt ngày trộm cắp,NEG
đưa lên để nhận đồng cảm à ? họ sai họ chịu phạt còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi,NEG
chú này tội lắm á :,NEG
gọi phường cẩu đi thôi,NEG
link phim đéo có mà zo toàn gặp bình luận xàm,NEG
chắc kiếp trước gieo nghiệp kiếp này phải gánh thôi,NEG
hihi ảo tưởng,NEG
hahah tao chưa nghe hoàn chỉnh bài này lần nào,NEU
mình không quan tâm giá trị học bổng bao nhiêu mà tớ q tâm em đó sẽ dành những gì cho đất nước sau khi học xong thôi hee chúc mừng em,POS
thế nếu sóc lên xong gõ thì n có trào lên không nhỉ,NEU
2 tên sủa giống nhau đêm đêm thì rủ nhau hú ?,NEG
dân dùng bằng giả có được khiển trách không nhỉ,NEU
vì mày là đống vỏ năm xưa mẹ mày đổ vào đầu bố mày nên ngày nào nhìn mặt mày hắn cũng cay cú như thế :,NEG
người ta chỉ muốn dụ mày rồi xin một trái thận :sleepy_face:,NEG
per huhu trời ơiii,NEG
lớp 5 mà viết kiểu này cô đánh gãy tay,NEG
con gái chả thế : con trai đi dume mày có nhận hàng không,NEU
xoá mẹ nó đi pr cho nó làm gì,NEG
t thích nhìn mắt của crush hơn là nhìn nó cười,POS
hành động đẹp,POS
đập chết mẹ nó đi nó làm người ta nhồi máu cơ tim có khác nào giết người gián tiếp mà ở mỹ gọi là giết người cấp độ 2 đấy,NEG
đây là tao khi bảo tao biết đường mà tin tao :slightly_smiling_face:,NEU
t nhớ tao đang xem xxx thì chưa cắm tai nghe :loudly_crying_face::loudly_crying_face::loudly_crying_face:,NEU
chuẩn hài lòng với những thứ mình đang có đừng mơ mộng những thứ viển vông,POS
per quẹo lựa mấy đứa ơi để lễ nay đặt vé luôn cho rồi nóng quá rồi :,POS
ai đời cho kiến đen đốt tr nta cho kiến vàng đốt chứ ăn kì cục,NEG
may quá tao đang nhà đắp chăn xem cảnh này chứ đông vậy đi chắc chớt,NEU
mặt mày nhìn chán thậc,NEG
cả 2 đứa đều trẻ con yêu đương kiểu này thì lsao mà tính chuyện lâu dài được,NEG
per ê tao với mày mà đi cái cầu này chắc rớt ngay bước đầu quá :crying_face::crying_face: đã mặp rồi chân lùn nữa đi qua bằng niềm tin,NEU
đau lòng quá,NEG
chơi mất dậy gặp tao là tiễn theo điện thoại luôn,NEG
vụ này chắc xử nhanh hơn vụ trong thang máy :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,NEU
lúc rài không gặp được mặt cờ rút nữa :sleepy_face:,NEG
dạo này cứ đổ vỡ nhây nhớp là hấp dẫn cư dân mạng à : tao thấy đéo đến mức buồn quá,NEG
giống tao hồi bé :grinning_face_with_sweat:,NEU
có ai không bị giật mình như tao không nhạt vãi,NEG
năm nay không được ăn dồi :,NEG
ổng bị bắt rồi : rồi lấy gì coi,NEG
per thể loại mới nè có vẻ phê,POS
con nào cũng là con nhé con trai tao tập từ nhỏ đã biết tự lo và phụ mẹ rồi :,POS
cái con yêu nghiê tao này hồi nhỏ nó phập vào đùi mình lần đầu nhìn thấy nó tươ người nó cũng hiền hiền như con vịt ai ngờ mới bươ c lại gần là nó di rượt mình cái kết là bầm tím phần đùi đến giơ thấy nó là auto né,NEG
per nhện kìa haha,NEU
per đi tong một năm học nhưng vẫn tốt nghiệp :,NEG
càng thân thiết khi quay lưng càng đau lòng,NEG
lâu rồi chưa nghe nghe lại vẫn hay và ngấm như ngày nào :,POS
tôi thấy tương lai của tôi trong bức ảnh này :d,POS
per đấu nhau to rồi phen này hay,POS
có thể bán lại cho tớ không ?,NEU
phí gì cũng cao nhất so với ngân hàg khác mà phục vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !,NEG
xem đi xem lại bao nhiêu lần cũng không chán vẫn cảm giác hồi hộp :,POS
per phải nói là hiền quá hiền luônnn :rolling_on_the_floor_laughing:,POS
phạt thế quá nhẹ,NEG
có bồ mà cũng sân si,NEG
trên đời sợ nhất mấy con trùn trùn như ri ! nhất là giun đất với rắn ! đã từng bỏ tiết học sinh học mổ giun đất :disappointed_face::disappointed_face:,NEG
sao tao thấy đa phần mấy đứa con trai cắt tóc xong nhìn ngáo đéo chịu được vậy cười tét cả hàm chứ đùa,NEU
đơn giản thôi : nó giống như con chó vậy khi ta đuổi thì nó chạy khi ta chạy thì nó đuổi,NEU
ướp đông lạnh luôn à,NEU
chờ tý tao đi thay bỉm xíu tao quay lại,NEU
có hiệu quả không mới quan trọng,NEU
sáng sớm đã đậm chất ngôn tình tránh ra chỗ bà gym nào,NEU
anh chờ đáng yêu ghê,POS
cười như cục cức trôi sông lạc chợ :smirking_face::smirking_face::ok_hand:,NEG
tao buồn mấy năm nay rồi,NEG
phải đối xử tốt với chính bản thân mình :,POS
chủ động nói chuyện nhắn tin khi có time nhưng đời không như mơ,NEG
móa thiệt chứ tụi này nuôi làm gì vậy nhỉ ?,NEG
tao đang đi phân khối lớn đây ai cũng kêu nhìn cá tính vãi :beaming_face_with_smiling_eyes:,POS
động lực để phụ nữ chiến đấu chính là gia đình và bản thân họ :,POS
mink chỉ lo là nhà nước không đủ gạo nuôi mấy anh,NEG
sản phẩm khá là mới lạ trong việt nam,POS
chuẩn rồi nhiều khi mệt muốn xỉu xong đồng nghiệp đùa nhau đôi ba câu hay kể cho nhau vài câu chuyện thế là lại vui trở lại :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: đồng nghiệp quan trọng thật sự,POS
ai trèo lên đưa cho ảnh cái áo mưa đi kẻo ướt ảnh đó,NEU
